loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,sub_class,work_type,employer_type,industry,work_year,house_exist,house_loan_status,censor_status,marriage,offsprings,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,pub_dero_bankrup,early_return,early_return_amount,early_return_amount_3mon,recircle_b,recircle_u,initial_list_status,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,f5,is_Default
539170,742588,3250.0,5,12.99,73.94,C,C1,其他,上市企业,金融业,9 years,0,0,1,1,1,2011-08-01,0,259.0,19,24.59,0.0,700.0,704.0,1.0,0,0,0.0,26732.0,85.4,1,Mar-1995,5431.0,1.0,,,,,,,0
228115,742589,6000.0,3,10.42,194.79,B,B3,其他,普通企业,建筑业,10+ years,1,1,1,0,0,2017-11-01,0,72.0,10,15.2,0.0,705.0,709.0,1.0,0,0,0.0,2837.0,19.0,0,Aug-2005,0.0,1.0,2.0,0.0,4.0,14.0,6.0,0.0,0
347077,742590,30000.0,3,13.99,1025.19,C,C4,其他,普通企业,农、林、牧、渔业,10+ years,1,0,2,0,0,2015-09-01,0,51.0,13,2.54,0.0,725.0,729.0,0.0,0,0,0.0,13438.0,54.4,0,Jun-2012,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,1
751231,742591,35000.0,3,15.31,1218.61,C,C4,其他,普通企业,金融业,< 1 year,0,2,2,1,3,2014-04-01,0,238.0,22,15.08,1.0,680.0,684.0,0.0,0,0,0.0,15132.0,77.6,0,Oct-1995,0.0,1.0,6.0,0.0,3.0,13.0,9.0,3.0,0
133651,742592,4800.0,3,10.99,157.13,B,B4,工人,政府机构,电力、热力生产供应业,10+ years,2,0,2,0,0,2015-10-01,0,697.0,39,13.64,5.0,665.0,669.0,0.0,0,0,0.0,1099.0,44.0,0,Oct-2003,0.0,1.0,1.0,0.0,7.0,11.0,4.0,0.0,0
32698,742593,9200.0,3,28.69,383.99,F,F1,职员,普通企业,信息传输、软件和信息技术服务业,10+ years,0,0,2,0,0,2017-04-01,4,120.0,21,19.08,0.0,695.0,699.0,0.0,0,0,0.0,17572.0,66.6,1,Jul-2002,4.0,1.0,8.0,0.0,7.0,16.0,6.0,0.0,0
582182,742594,37450.0,5,24.74,1093.51,E,E3,其他,普通企业,金融业,10+ years,0,0,2,0,0,2016-10-01,0,641.0,13,25.65,0.0,755.0,759.0,0.0,0,0,0.0,20995.0,49.9,1,Mar-2005,0.0,1.0,2.0,0.0,8.0,16.0,7.0,0.0,0
730283,742595,30000.0,3,13.18,1013.43,C,C3,工程师,普通企业,房地产业,1 year,1,0,1,1,0,2015-12-01,0,130.0,33,31.3,0.0,690.0,694.0,0.0,0,0,0.0,33860.0,70.5,0,Apr-1999,0.0,1.0,13.0,0.0,14.0,20.0,10.0,0.0,0
80940,742596,19775.0,5,22.99,557.36,F,F1,工程师,普通企业,房地产业,10+ years,0,1,2,1,0,2015-02-01,0,85.0,19,16.25,1.0,705.0,709.0,0.0,0,0,0.0,8574.0,46.3,0,Mar-2004,0.0,1.0,2.0,0.0,6.0,9.0,4.0,0.0,0
321336,742597,2400.0,3,10.75,78.29,B,B4,其他,上市企业,电力、热力生产供应业,10+ years,0,2,0,0,0,2016-02-01,5,273.0,8,7.29,0.0,725.0,729.0,0.0,0,0,0.0,8443.0,48.8,0,Jun-2005,6.0,1.0,1.0,0.0,10.0,7.0,5.0,0.0,0
563870,742598,28000.0,3,7.62,872.52,A,A3,职员,世界五百强,住宿和餐饮业,2 years,0,1,2,1,5,2013-06-01,2,31.0,2,1.02,0.0,790.0,794.0,0.0,0,0,0.0,8185.0,10.8,0,Feb-1993,5.0,1.0,1.0,0.0,2.0,8.0,8.0,0.0,0
461142,742599,1500.0,3,8.24,47.18,B,B1,职员,普通企业,交通运输、仓储和邮政业,10+ years,2,1,1,1,1,2017-03-01,0,450.0,19,25.97,0.0,765.0,769.0,0.0,0,0,0.0,1786.0,7.8,0,Apr-2003,0.0,1.0,3.0,0.0,12.0,7.0,3.0,0.0,0
494865,742600,20000.0,3,6.08,609.17,A,A2,其他,世界五百强,金融业,10+ years,0,0,1,0,0,2018-02-01,7,124.0,13,9.75,0.0,770.0,774.0,0.0,0,0,0.0,19287.0,21.9,0,Aug-1973,8.0,1.0,3.0,0.0,2.0,9.0,6.0,0.0,0
404321,742601,8000.0,3,5.93,243.13,A,A1,其他,普通企业,农、林、牧、渔业,10+ years,1,0,0,1,3,2015-04-01,4,294.0,16,20.09,0.0,770.0,774.0,0.0,0,0,0.0,6747.0,19.2,0,Oct-1993,4.0,1.0,6.0,0.0,2.0,14.0,12.0,0.0,0
181213,742602,8000.0,3,17.27,286.3,C,C5,其他,普通企业,文化和体育业,4 years,2,0,0,0,0,2012-10-01,3,828.0,39,22.46,0.0,665.0,669.0,0.0,0,0,0.0,3559.0,52.3,0,Jul-2007,52873.0,1.0,2.0,0.0,4.0,6.0,5.0,0.0,1
150193,742603,25975.0,3,13.99,887.64,C,C4,其他,普通企业,农、林、牧、渔业,4 years,0,0,1,0,0,2015-05-01,4,63.0,14,29.59,0.0,695.0,699.0,0.0,0,0,0.0,41808.0,70.9,1,Jul-2004,4.0,1.0,4.0,0.0,6.0,14.0,9.0,0.0,1
623996,742604,5000.0,3,5.32,150.58,A,A1,其他,政府机构,文化和体育业,1 year,0,0,1,1,3,2016-03-01,5,359.0,43,7.86,0.0,680.0,684.0,0.0,0,0,0.0,9363.0,59.6,0,Oct-2000,6.0,1.0,2.0,0.0,11.0,11.0,8.0,1.0,0
534297,742605,3200.0,3,10.99,104.75,B,B4,其他,上市企业,金融业,10+ years,0,1,2,1,3,2016-08-01,0,94.0,27,30.99,1.0,665.0,669.0,0.0,0,0,0.0,19970.0,71.8,1,Feb-1997,0.0,1.0,7.0,0.0,7.0,20.0,11.0,0.0,0
443460,742606,20000.0,5,14.49,470.47,C,C4,其他,普通企业,公共服务、社会组织,4 years,1,2,1,0,0,2014-09-01,0,126.0,38,17.92,0.0,670.0,674.0,0.0,0,0,0.0,10102.0,69.7,0,Sep-1994,0.0,1.0,4.0,0.0,10.0,12.0,4.0,0.0,0
671022,742607,9925.0,3,16.59,351.84,D,D1,工人,政府机构,建筑业,10+ years,0,1,1,0,0,2014-03-01,0,234.0,42,2.11,0.0,665.0,669.0,1.0,0,0,0.0,5074.0,53.4,0,Dec-2001,0.0,1.0,5.0,0.0,1.0,9.0,5.0,0.0,0
544251,742608,30000.0,5,11.05,653.03,B,B4,其他,普通企业,制造业,9 years,1,0,2,0,0,2018-07-01,0,220.0,20,11.28,0.0,760.0,764.0,0.0,0,0,0.0,3846.0,11.7,0,Dec-1999,0.0,1.0,1.0,0.0,22.0,14.0,8.0,0.0,1
22173,742609,5000.0,3,11.49,164.86,B,B5,公务员,世界五百强,公共服务、社会组织,10+ years,0,0,0,1,0,2017-04-01,0,323.0,12,18.81,2.0,670.0,674.0,0.0,0,0,0.0,7318.0,38.7,1,Jul-1994,0.0,1.0,9.0,0.0,5.0,26.0,18.0,3.0,0
747252,742610,8000.0,3,11.99,265.68,C,C1,其他,普通企业,电力、热力生产供应业,5 years,1,0,1,0,0,2016-02-01,4,277.0,8,5.69,0.0,665.0,669.0,0.0,0,0,0.0,3777.0,54.7,0,Jan-2011,4.0,1.0,4.0,0.0,4.0,12.0,7.0,0.0,1
7108,742611,6000.0,3,13.11,202.49,B,B4,其他,普通企业,金融业,6 years,1,1,0,1,0,2012-09-01,4,309.0,30,10.79,0.0,690.0,694.0,0.0,0,0,0.0,12124.0,58.0,1,May-1991,2214.0,1.0,9.0,0.0,4.0,16.0,11.0,0.0,0
232045,742612,6725.0,3,15.1,233.46,C,C2,职员,普通企业,公共服务、社会组织,5 years,1,1,0,0,0,2013-10-01,3,195.0,38,21.05,0.0,680.0,684.0,0.0,0,0,0.0,9508.0,69.9,1,May-2000,28581.0,1.0,6.0,0.0,4.0,15.0,5.0,0.0,1
167896,742613,35000.0,3,11.39,1152.34,B,B3,工人,普通企业,信息传输、软件和信息技术服务业,10+ years,1,1,2,2,4,2016-12-01,0,646.0,8,22.58,0.0,695.0,699.0,0.0,0,0,0.0,61325.0,78.0,0,Nov-1987,0.0,1.0,19.0,,6.0,38.0,20.0,0.0,0
301395,742614,14000.0,3,17.49,502.56,D,D5,其他,普通企业,建筑业,10+ years,1,0,2,1,5,2011-05-01,0,267.0,27,15.53,0.0,670.0,674.0,0.0,0,0,0.0,2445.0,87.3,1,Oct-1999,0.0,1.0,,,,,,,0
79968,742615,6000.0,3,13.99,205.04,C,C3,工人,普通企业,房地产业,10+ years,1,2,1,0,0,2016-11-01,0,51.0,13,9.34,1.0,660.0,664.0,1.0,0,0,0.0,5557.0,53.4,0,Feb-1997,0.0,1.0,7.0,0.0,2.0,26.0,13.0,1.0,1
327748,742616,20000.0,3,12.99,673.79,C,C2,其他,政府机构,信息传输、软件和信息技术服务业,10+ years,0,0,2,1,0,2016-03-01,0,43.0,19,23.83,0.0,660.0,664.0,0.0,0,0,0.0,40274.0,88.7,0,Nov-2002,0.0,1.0,9.0,0.0,7.0,20.0,12.0,0.0,0
294242,742617,10000.0,3,14.31,343.29,C,C4,公务员,上市企业,金融业,< 1 year,1,0,0,2,0,2015-02-01,10,4.0,3,9.13,0.0,695.0,699.0,0.0,0,0,0.0,1672.0,25.0,0,Nov-2002,11.0,1.0,2.0,0.0,30.0,10.0,5.0,2.0,0
697812,742618,15000.0,3,11.49,494.57,B,B5,工人,普通企业,交通运输、仓储和邮政业,10+ years,1,0,2,0,0,2016-08-01,0,385.0,8,8.54,0.0,670.0,674.0,0.0,0,0,0.0,32454.0,86.5,0,Apr-2006,0.0,1.0,7.0,0.0,5.0,11.0,6.0,0.0,0
550995,742619,24000.0,5,9.99,509.82,B,B3,职员,普通企业,公共服务、社会组织,3 years,0,0,1,1,0,2015-07-01,4,113.0,22,32.92,0.0,680.0,684.0,0.0,0,0,0.0,20076.0,60.1,0,Nov-2003,4.0,1.0,8.0,0.0,9.0,11.0,9.0,0.0,0
453873,742620,21000.0,5,20.75,565.18,E,E2,工人,普通企业,采矿业,,1,2,1,1,0,2016-03-01,0,536.0,23,5.31,0.0,665.0,669.0,1.0,0,0,0.0,5670.0,62.3,0,Feb-2005,0.0,1.0,5.0,0.0,4.0,6.0,2.0,0.0,0
721384,742621,12000.0,3,13.33,406.24,C,C3,公务员,政府机构,金融业,10+ years,0,1,1,0,0,2015-04-01,4,507.0,19,10.26,0.0,675.0,679.0,1.0,24,1200,555.6168604183172,14275.0,70.7,1,Aug-1998,4.0,1.0,9.0,0.0,4.0,10.0,3.0,0.0,0
545504,742622,29975.0,5,18.92,776.25,D,D4,职员,政府机构,建筑业,< 1 year,0,1,1,1,4,2014-02-01,2,218.0,0,5.2,0.0,660.0,664.0,0.0,0,0,0.0,9719.0,51.7,0,Jun-1996,5.0,1.0,6.0,0.0,5.0,12.0,9.0,5.0,0
348857,742623,35000.0,5,21.49,956.55,E,E3,公务员,世界五百强,房地产业,2 years,0,1,2,0,0,2013-05-01,0,340.0,14,12.73,0.0,685.0,689.0,0.0,0,0,0.0,10360.0,58.2,1,Jan-1989,624.0,1.0,4.0,0.0,9.0,20.0,10.0,0.0,0
164054,742624,9600.0,3,15.99,337.47,C,C5,职员,幼教与中小学校,采矿业,1 year,1,2,2,0,0,2017-02-01,4,505.0,10,17.47,0.0,665.0,669.0,0.0,0,0,0.0,14465.0,64.9,0,Jul-2004,4.0,1.0,5.0,0.0,13.0,14.0,8.0,0.0,0
292824,742625,6000.0,3,11.39,197.55,B,B3,职员,政府机构,电力、热力生产供应业,3 years,1,0,1,1,3,2017-02-01,4,99.0,8,10.49,0.0,680.0,684.0,0.0,0,0,0.0,3180.0,24.3,0,Jul-2006,4.0,1.0,3.0,0.0,2.0,4.0,2.0,1.0,0
233172,742626,35000.0,3,11.44,1153.17,B,B4,职员,普通企业,建筑业,4 years,2,2,2,1,3,2017-03-01,4,465.0,19,24.97,0.0,770.0,774.0,0.0,0,0,0.0,61680.0,41.0,0,Mar-2004,4.0,1.0,6.0,0.0,8.0,16.0,8.0,0.0,0
271897,742627,4000.0,3,16.99,142.6,D,D1,职员,普通企业,建筑业,10+ years,0,1,1,0,0,2017-01-01,5,74.0,30,12.39,1.0,725.0,729.0,0.0,0,0,0.0,1085.0,24.1,0,Mar-2004,6.0,1.0,3.0,0.0,15.0,8.0,7.0,0.0,0
590587,742628,4500.0,3,11.49,148.38,B,B5,其他,政府机构,文化和体育业,3 years,1,2,0,1,5,2016-10-01,5,143.0,8,9.74,0.0,690.0,694.0,0.0,0,0,0.0,12125.0,81.9,1,May-1995,6.0,1.0,2.0,0.0,1.0,4.0,3.0,0.0,0
